Gender,ApplicantIncome,LoanAmount,Credit_History,true_label,prediction,sensitive_feature
0,9102,427,1,1,0,group_a
0,9102,427,1,0,0,group_b
0,9102,427,1,1,0,group_a
0,9102,427,1,1,0,group_b
0,9102,427,1,1,0,group_a
0,9102,427,1,0,0,group_b
0,9102,427,1,0,0,group_a
0,9102,427,1,0,0,group_b
0,9102,427,1,0,0,group_a
0,9102,427,1,1,0,group_b
0,9102,427,1,1,0,group_a
0,9102,427,1,1,0,group_b
0,9102,427,1,1,0,group_a
0,9102,427,1,1,0,group_b
0,9102,427,1,0,0,group_a
0,9102,427,1,1,0,group_b
0,9102,427,1,1,0,group_a
0,9102,427,1,1,0,group_b
0,9102,427,1,1,0,group_a
0,9102,427,1,0,0,group_b
0,9102,427,1,1,0,group_a
0,9102,427,1,1,0,group_b
0,9102,427,1,0,0,group_a
0,9102,427,1,1,0,group_b
0,9102,427,1,1,0,group_a
0,9102,427,1,1,0,group_b
0,9102,427,1,0,0,group_a
0,9102,427,1,1,0,group_b
0,9102,427,1,1,0,group_a
0,9102,427,1,0,0,group_b
0,9102,427,1,0,0,group_a
0,9102,427,1,1,0,group_b
0,9102,427,1,0,0,group_a
0,9102,427,1,0,0,group_b
0,9102,427,1,0,0,group_a
0,9102,427,1,1,0,group_b
0,9102,427,1,0,0,group_a
0,9102,427,1,1,0,group_b
0,9102,427,1,0,0,group_a
0,9102,427,1,1,0,group_b
0,9102,427,1,0,0,group_a
0,9102,427,1,1,0,group_b
0,9102,427,1,1,0,group_a
0,9102,427,1,1,0,group_b
0,9102,427,1,1,0,group_a
0,9102,427,1,0,0,group_b
0,9102,427,1,0,0,group_a
0,9102,427,1,0,0,group_b
0,9102,427,1,0,0,group_a
0,9102,427,1,1,0,group_b
